关键词,意图（代码）,搜索量,趋势,KD,CPC (USD),竞争程度,SF,结果,快照日期,更新状态
when are northern lights visible tonight,0,260,0 | 2 | 0 | 0 | 1 | 0 | 100 | 0 | 3 | 0 | 0 | 0,32,0,0.07,7 | 9 | 21 | 28 | 50,192,20260718,0
when is northern lights tonight,0,260,0 | 5 | 0 | 0 | 0 | 0 | 82 | 0 | 1 | 0 | 0 | 0,52,0,0.09,7 | 9 | 21 | 28,121,20260718,0
where can the northern lights be seen tonight,0,260,3 | 10 | 1 | 0 | 0 | 1 | 43 | 0 | 3 | 0 | 0 | 0,48,0.66,0.02,9 | 21 | 28 | 50,176,20260718,0
where will the northern lights be tonight,0,260,10 | 67 | 10 | 15 | 12 | 4 | 100 | 10 | 54 | 5 | 12 | 12,39,0,0.03,7 | 9 | 21 | 28,176,20260718,0
who can see the northern lights tonight,0,260,0 | 7 | 1 | 2 | 5 | 3 | 52 | 1 | 3 | 0 | 1 | 1,44,0,0.01,7 | 9 | 21 | 28,188,20260718,0
will i be able to see northern lights tonight,0,260,0 | 4 | 5 | 8 | 4 | 1 | 100 | 8 | 30 | 4 | 6 | 6,27,0,0.01,7 | 9 | 21 | 28 | 50,184,20260718,0
will the northern lights be visible in colorado tonight,0,260,0 | 3 | 0 | 0 | 0 | 0 | 100 | 1 | 4 | 0 | 0 | 1,29,0,0.01,6 | 9 | 21 | 28 | 50,132,20260718,0
are the northern lights visible in illinois tonight,0,210,1 | 2 | 1 | 1 | 1 | 1 | 100 | 2 | 1 | 1 | 1 | 1,26,0,0.33,9 | 21 | 28,134,20260718,0
are there going to be northern lights tonight,0,210,1 | 8 | 1 | 1 | 3 | 0 | 55 | 1 | 3 | 0 | 1 | 0,29,0,0.03,7 | 9 | 21 | 28 | 50,184,20260718,0
can i see the northern lights tonight from my locati0n,0,210,2 | 19 | 2 | 10 | 12 | 2 | 100 | 7 | 100 | 4 | 5 | 5,31,0,0.01,7 | 9 | 21 | 28 | 50,176,20260718,0
can i still see the northern lights tonight,0,210,0 | 0 | 0 | 0 | 0 | 0 | 100 | 0 | 1 | 0 | 0 | 0,58,0,0,9 | 21 | 28 | 50,173,20260718,0
can we see the northern lights tonight near me,0 | 3,210,0 | 0 | 0 | 0 | 0 | 0 | 100 | 0 | 0 | 0 | 0 | 0,30,0,0,9 | 21 | 28,194,20260718,0
can you see the northern lights in arizona tonight,0,210,1 | 2 | 1 | 1 | 1 | 1 | 100 | 1 | 4 | 1 | 1 | 1,10,0,0.33,7 | 9 | 21 | 28 | 50,141,20260718,0
can you see the northern lights in michigan tonight,0,210,1 | 3 | 1 | 2 | 7 | 3 | 15 | 1 | 2 | 0 | 1 | 0,22,0,0.33,7 | 9 | 21 | 28 | 50,160,20260718,0
northern lights tonight,0,135000,0 | 7 | 0 | 0 | 2 | 0 | 44 | 0 | 4 | 0 | 0 | 4,42,1.7,0.01,7 | 9 | 21 | 28 | 50,130,20260718,0
northern lights forecast tonight,0,14800,6 | 11 | 3 | 4 | 11 | 7 | 45 | 7 | 20 | 16 | 7 | 9,54,0.89,0.01,7 | 9 | 21 | 28 | 50,135,20260718,0
aurora borealis northern lights tonight,0,9900,0 | 0 | 0 | 0 | 0 | 0 | 54 | 0 | 2 | 0 | 0 | 0,46,1.52,0.02,9 | 15 | 21 | 28 | 49 | 50,51,20260718,0
best time to see northern lights tonight,0 | 2,8100,0 | 9 | 0 | 0 | 0 | 0 | 67 | 0 | 0 | 0 | 0 | 0,32,0,0.33,7 | 9 | 21 | 28 | 50,185,20260718,0
what time will the northern lights be visible tonight,0,8100,0 | 9 | 0 | 0 | 1 | 1 | 55 | 1 | 11 | 0 | 0 | 0,45,0.6,0.01,7 | 9 | 21 | 28 | 50,192,20260718,0
can i see the northern lights tonight,0,6600,0 | 6 | 0 | 1 | 2 | 1 | 44 | 0 | 6 | 0 | 0 | 0,41,1.26,0.01,7 | 9 | 21 | 28 | 50,184,20260718,0
northern lights tonight near me,0 | 3,5400,0 | 2 | 0 | 4 | 1 | 0 | 13 | 1 | 4 | 0 | 0 | 0,42,0.99,0.02,7 | 9 | 21 | 28 | 50,192,20260718,0
what time is the northern lights tonight,0,5400,0 | 7 | 0 | 0 | 0 | 0 | 100 | 0 | 0 | 0 | 0 | 0,21,0,0.01,7 | 9 | 21 | 28 | 50,38,20260718,0
are the northern lights visible tonight,0,4400,0 | 5 | 0 | 0 | 5 | 1 | 54 | 1 | 5 | 0 | 0 | 0,29,0,0.33,7 | 9 | 21 | 28 | 50,182,20260718,0
can you see the northern lights tonight,0,4400,0 | 3 | 0 | 0 | 0 | 0 | 36 | 0 | 2 | 0 | 0 | 0,44,0,0.33,7 | 9 | 21 | 28 | 50,186,20260718,0
northern lights tonight map,0,4400,2 | 16 | 0 | 3 | 7 | 3 | 44 | 3 | 8 | 0 | 1 | 2,53,1.51,0.33,5 | 7 | 9 | 21 | 28 | 50,135,20260718,0
what time are the northern lights tonight,0,4400,0 | 7 | 0 | 0 | 0 | 0 | 36 | 0 | 0 | 0 | 0 | 0,47,0,0.01,7 | 9 | 21 | 28 | 50,188,20260718,0
where to see northern lights tonight,0,4400,0 | 13 | 0 | 1 | 1 | 1 | 29 | 1 | 8 | 0 | 0 | 0,58,0.71,0.02,7 | 9 | 21 | 28 | 50,182,20260718,0
northern lights colorado tonight,0,3600,0 | 2 | 0 | 0 | 0 | 0 | 100 | 0 | 3 | 0 | 0 | 0,27,0,0.33,7 | 9 | 21 | 28 | 50,133,20260718,0
northern lights michigan tonight,0,2900,3 | 29 | 2 | 3 | 16 | 5 | 24 | 3 | 4 | 0 | 2 | 1,28,0,0.33,7 | 9 | 21 | 28 | 50,135,20260718,0
northern lights tonight massachusetts,0,2900,0 | 16 | 0 | 0 | 1 | 0 | 44 | 0 | 3 | 0 | 0 | 0,22,0,0.33,7 | 9 | 21 | 28 | 50,108,20260718,0
northern lights visible tonight,0,2900,2 | 16 | 1 | 2 | 7 | 2 | 100 | 2 | 5 | 0 | 1 | 2,30,0,0.33,7 | 9 | 21 | 28 | 50,136,20260718,0
what time can you see the northern lights tonight,0,2900,0 | 10 | 0 | 0 | 1 | 0 | 54 | 0 | 2 | 0 | 0 | 0,28,0,0.01,6 | 7 | 9 | 21 | 28 | 50,190,20260718,0
what time to see northern lights tonight,0,2900,0 | 8 | 0 | 0 | 1 | 0 | 54 | 0 | 2 | 0 | 0 | 0,35,0,0.33,6 | 7 | 9 | 21 | 28 | 50,183,20260718,0
when can i see the northern lights tonight,0,2900,0 | 8 | 0 | 0 | 0 | 0 | 100 | 0 | 1 | 0 | 0 | 0,45,0,0.01,7 | 9 | 21 | 28 | 50,189,20260718,0
where to see the northern lights tonight,0,2900,2 | 24 | 0 | 2 | 10 | 1 | 100 | 0 | 10 | 0 | 1 | 1,26,0.71,0.02,7 | 9 | 21 | 28 | 50,177,20260718,0
will the northern lights be visible tonight,0,2900,0 | 5 | 0 | 0 | 3 | 1 | 44 | 0 | 3 | 0 | 0 | 0,56,0,0.01,7 | 9 | 21 | 28 | 50,185,20260718,0
northern lights map tonight,0,2400,1 | 24 | 2 | 10 | 4 | 3 | 54 | 2 | 36 | 0 | 3 | 7,53,1.51,0.33,5 | 7 | 9 | 21 | 28 | 50,136,20260718,0
northern lights tonight dallas,0,2400,0 | 4 | 0 | 0 | 0 | 0 | 100 | 0 | 1 | 0 | 0 | 0,23,0,0.01,5 | 6 | 7 | 9 | 13 | 20 | 21 | 28 | 50,107,20260718,0
northern lights tonight new jersey,0,2400,0 | 7 | 0 | 0 | 1 | 0 | 44 | 0 | 1 | 0 | 0 | 0,17,0,0.33,9 | 21 | 28 | 50,107,20260718,0
what time can i see the northern lights tonight,0,2400,0 | 8 | 0 | 0 | 2 | 0 | 54 | 0 | 7 | 0 | 0 | 0,24,0,0.01,7 | 9 | 21 | 28 | 50,183,20260718,0
where can i see the northern lights tonight,0,2400,0 | 4 | 0 | 0 | 0 | 1 | 36 | 0 | 7 | 0 | 0 | 0,43,0.71,0.02,7 | 9 | 15 | 21 | 28 | 50,184,20260718,0
can i see northern lights tonight,0,1900,0 | 10 | 0 | 0 | 4 | 2 | 81 | 0 | 4 | 2 | 0 | 0,57,1.26,0.01,7 | 9 | 21 | 28 | 50,179,20260718,0
can we see the northern lights tonight,0,1900,0 | 4 | 0 | 0 | 2 | 0 | 24 | 0 | 3 | 0 | 0 | 0,44,0,0.01,9 | 21 | 28,179,20260718,0
how to see the northern lights tonight,0,1900,0 | 10 | 0 | 0 | 0 | 0 | 29 | 0 | 3 | 2 | 0 | 0,39,0,0.02,7 | 9 | 21 | 28 | 50,138,20260718,0
northern lights tonight chicago,0,1900,1 | 13 | 0 | 0 | 4 | 0 | 66 | 1 | 5 | 0 | 0 | 1,20,0,0.33,7 | 9 | 21 | 28 | 50,109,20260718,0
tonight's northern lights,0,1900,0 | 1 | 1 | 3 | 100 | 0 | 8 | 0 | 0 | 100 | 0 | 0,23,1.7,0.01,7 | 9 | 21 | 28 | 50,134,20260718,0
what time for northern lights tonight,0,1900,2 | 81 | 1 | 3 | 4 | 3 | 100 | 0 | 5 | 0 | 1 | 2,43,0,0.02,9 | 21 | 28,185,20260718,0
when to see northern lights tonight,0,1900,0 | 5 | 0 | 0 | 0 | 0 | 44 | 0 | 0 | 0 | 0 | 0,41,0,0.33,7 | 9 | 21 | 28 | 50,180,20260718,0
are there northern lights tonight,0,1600,1 | 10 | 1 | 2 | 5 | 3 | 81 | 3 | 8 | 2 | 2 | 1,48,0,0.01,9 | 21 | 28,175,20260718,0
northern lights chicago tonight,0,1600,1 | 16 | 0 | 0 | 5 | 0 | 100 | 2 | 8 | 0 | 0 | 1,20,0,0.33,7 | 9 | 21 | 28 | 50,106,20260718,0
northern lights tonight ohio,0,1600,1 | 10 | 0 | 0 | 3 | 1 | 36 | 3 | 7 | 0 | 0 | 1,19,0,0.33,7 | 9 | 21 | 28 | 50,106,20260718,0
northern lights tonight time,0,1600,1 | 15 | 0 | 1 | 7 | 1 | 100 | 1 | 19 | 0 | 0 | 1,31,0,0.01,7 | 9 | 21 | 28 | 50,138,20260718,0
northern lights wisconsin tonight,0,1600,3 | 10 | 2 | 3 | 13 | 7 | 44 | 3 | 7 | 1 | 2 | 2,30,0,0.01,9 | 21 | 28 | 50,134,20260718,0
seattle northern lights tonight,0,1600,5 | 54 | 3 | 5 | 19 | 3 | 100 | 3 | 66 | 2 | 4 | 5,13,0,0.33,7 | 9 | 21 | 28 | 50,132,20260718,0
what time northern lights tonight,0,1600,0 | 10 | 0 | 0 | 0 | 0 | 54 | 0 | 0 | 0 | 0 | 0,58,0,0.01,7 | 9 | 21 | 28 | 50,183,20260718,0
what time to see the northern lights tonight,0,1600,0 | 7 | 0 | 0 | 2 | 0 | 44 | 0 | 1 | 0 | 0 | 0,24,0,0.33,7 | 9 | 21 | 28,189,20260718,0
when will the northern lights be visible tonight,0,1600,0 | 19 | 0 | 0 | 0 | 0 | 100 | 0 | 3 | 0 | 0 | 0,44,0,0.33,7 | 9 | 21 | 28 | 50,189,20260718,0
will i be able to see the northern lights tonight,0,1600,0 | 5 | 0 | 0 | 2 | 0 | 36 | 0 | 4 | 0 | 0 | 0,52,0,0.01,7 | 9 | 21 | 28,188,20260718,0
are northern lights visible tonight,0,1300,0 | 5 | 0 | 0 | 3 | 1 | 44 | 3 | 4 | 1 | 0 | 2,48,0,0.01,9 | 21 | 28,172,20260718,0
are the northern lights out tonight,0,1300,0 | 1 | 0 | 0 | 1 | 1 | 100 | 4 | 1 | 0 | 0 | 0,25,0,0.01,7 | 9 | 21 | 28 | 50,185,20260718,0
can you see northern lights tonight,0,1300,0 | 19 | 0 | 0 | 4 | 2 | 54 | 1 | 8 | 0 | 0 | 0,43,0,0.33,7 | 9 | 21 | 28 | 50,177,20260718,0
is there northern lights tonight,0,1300,0 | 8 | 1 | 3 | 8 | 4 | 81 | 3 | 7 | 3 | 3 | 3,33,0.96,0.01,9 | 14 | 15 | 21 | 28,178,20260718,0
northern lights in michigan tonight,0,1300,3 | 10 | 2 | 3 | 16 | 4 | 19 | 3 | 5 | 1 | 3 | 2,37,0,0,9 | 21 | 28 | 50,144,20260718,0
northern lights map for tonight,0,1300,10 | 4 | 0 | 0 | 13 | 19 | 100 | 5 | 1 | 0 | 0 | 0,63,1.9,0.01,5 | 7 | 9 | 13 | 21 | 28,172,20260718,0
northern lights ohio tonight,0,1300,0 | 8 | 0 | 0 | 3 | 1 | 29 | 2 | 4 | 0 | 0 | 1,25,0,0.33,7 | 9 | 21 | 28 | 50,105,20260718,0
northern lights tonight connecticut,0,1300,0 | 13 | 0 | 0 | 3 | 0 | 24 | 0 | 4 | 0 | 0 | 0,22,0,0.33,7 | 9 | 21 | 28 | 50,100,20260718,0
northern lights tonight minneapolis,0,1300,0 | 5 | 0 | 0 | 1 | 0 | 100 | 0 | 2 | 0 | 0 | 0,16,0,0.33,9 | 21 | 28 | 50,109,20260718,0
northern lights tonight nyc,0,1300,0 | 2 | 0 | 0 | 0 | 0 | 16 | 0 | 1 | 0 | 0 | 0,27,0,0.33,7 | 9 | 21 | 28 | 50,108,20260718,0
northern lights tonight omaha,0,1300,0 | 4 | 0 | 0 | 0 | 0 | 100 | 0 | 2 | 0 | 0 | 0,24,0,0.33,6 | 9 | 21 | 28 | 50,88,20260718,0
northern lights tonight wisconsin,0,1300,5 | 43 | 4 | 8 | 36 | 19 | 100 | 8 | 15 | 3 | 7 | 4,20,0,0.01,4 | 6 | 9 | 21 | 28 | 50,108,20260718,0
what time is best to see the northern lights tonight,0,1300,0 | 7 | 0 | 0 | 0 | 0 | 100 | 0 | 4 | 0 | 0 | 0,47,0,0.02,7 | 9 | 21 | 28 | 50,191,20260718,0
when to see the northern lights tonight,0,1300,0 | 19 | 0 | 0 | 0 | 0 | 100 | 0 | 1 | 0 | 0 | 0,47,0,0.01,9 | 21 | 28 | 50,178,20260718,0
where can you see the northern lights tonight,0,1300,0 | 10 | 0 | 4 | 1 | 1 | 44 | 0 | 4 | 0 | 0 | 0,42,0.66,0.02,7 | 9 | 21 | 50,177,20260718,0
will northern lights be visible tonight,0,1300,0 | 15 | 0 | 0 | 8 | 2 | 100 | 1 | 8 | 1 | 0 | 0,35,0,0,9 | 21 | 28 | 50,181,20260718,0
will there be northern lights tonight,0,1300,0 | 2 | 0 | 0 | 2 | 0 | 24 | 0 | 2 | 0 | 0 | 0,35,0,0,9 | 21 | 28 | 50,179,20260718,0
will we see the northern lights tonight,0,1300,0 | 13 | 1 | 3 | 3 | 3 | 100 | 2 | 19 | 1 | 2 | 1,26,0,0.01,7 | 9 | 21 | 28,186,20260718,0
can the northern lights be seen tonight,0,1000,0 | 23 | 1 | 2 | 10 | 4 | 44 | 2 | 44 | 0 | 1 | 1,48,0.97,0.01,7 | 9 | 21 | 28 | 50,178,20260718,0
is the northern lights visible tonight,0,1000,0 | 3 | 0 | 1 | 5 | 3 | 100 | 2 | 2 | 1 | 1 | 0,39,0,0.33,7 | 9 | 21 | 28 | 50,180,20260718,0
michigan northern lights tonight,0,1000,3 | 66 | 3 | 10 | 16 | 2 | 29 | 3 | 16 | 3 | 8 | 7,33,0,0.33,4 | 9 | 21 | 50,107,20260718,0
northern light tonight,0,1000,0 | 10 | 0 | 2 | 6 | 2 | 54 | 1 | 6 | 0 | 0 | 0,51,0,0.01,7 | 9 | 21 | 28 | 50,111,20260718,0
northern lights in iowa tonight,0,1000,1 | 8 | 0 | 2 | 5 | 1 | 100 | 2 | 7 | 0 | 3 | 2,32,0,0.33,7 | 9 | 21 | 28 | 50,158,20260718,0
northern lights in seattle tonight,0,1000,7 | 43 | 3 | 7 | 16 | 4 | 100 | 3 | 54 | 2 | 7 | 7,15,0,0.33,6 | 7 | 9 | 21 | 28,135,20260718,0
northern lights seattle tonight,0,1000,0 | 8 | 0 | 0 | 1 | 0 | 13 | 0 | 10 | 0 | 0 | 0,25,0,0.33,7 | 9 | 21 | 28 | 50,134,20260718,0
northern lights tonight atlanta,0,1000,0 | 0 | 0 | 0 | 0 | 0 | 29 | 0 | 0 | 0 | 0 | 0,21,0,0.33,9 | 21 | 28 | 50,117,20260718,0
northern lights tonight in michigan,0,1000,3 | 16 | 2 | 2 | 10 | 2 | 16 | 3 | 7 | 1 | 3 | 3,25,0,0.33,9 | 21 | 28 | 50,164,20260718,0
northern lights tonight seattle,0,1000,1 | 5 | 1 | 0 | 2 | 0 | 36 | 1 | 19 | 0 | 0 | 1,22,0,0.33,7 | 9 | 21 | 28 | 50,135,20260718,0
northern lights viewing tonight,0,1000,1 | 24 | 1 | 3 | 10 | 5 | 81 | 2 | 36 | 1 | 3 | 2,46,0,0.01,7 | 9 | 21 | 28 | 50,137,20260718,0
see northern lights tonight,0,1000,0 | 5 | 0 | 1 | 2 | 1 | 24 | 0 | 5 | 0 | 0 | 0,44,0.48,0.01,9 | 21 | 28 | 50,131,20260718,0
what time are northern lights tonight,0,1000,0 | 54 | 0 | 0 | 12 | 1 | 81 | 0 | 4 | 0 | 0 | 0,48,0,0.01,7 | 9 | 21 | 28 | 50,188,20260718,0
aurora northern lights tonight,0,880,1 | 24 | 0 | 1 | 10 | 3 | 100 | 0 | 4 | 0 | 0 | 10,36,1.52,0.02,7 | 9 | 21 | 28,74,20260718,0
best time to see the northern lights tonight,0 | 2,880,1 | 13 | 0 | 0 | 0 | 0 | 66 | 0 | 2 | 0 | 0 | 0,37,0,0.01,9 | 21 | 28 | 50,182,20260718,0
can i see the northern lights from my locati0n tonight,0,880,0 | 0 | 0 | 0 | 0 | 0 | 100 | 0 | 0 | 0 | 0 | 0,43,0,0.02,7 | 9 | 21 | 28 | 50,189,20260718,0
can we see northern lights tonight,0,880,0 | 13 | 0 | 0 | 4 | 1 | 66 | 0 | 7 | 0 | 0 | 0,53,0,0.01,7 | 9 | 21 | 28 | 50,176,20260718,0
noaa predicts stunning northern lights visible across northern us tonight,0,880,0 | 0 | 0 | 0 | 0 | 0 | 0 | 100 | 0 | 0 | 0 | 0,22,0,0.33,7 | 9 | 21 | 28 | 50,200,20260718,0
northern lights in ohio tonight,0,880,1 | 12 | 0 | 1 | 6 | 2 | 29 | 3 | 10 | 0 | 1 | 2,26,0,0,9 | 21 | 28,143,20260718,0
northern lights maine tonight,0,880,3 | 19 | 2 | 5 | 13 | 5 | 19 | 4 | 13 | 2 | 2 | 3,31,0,0.33,4 | 9 | 21 | 28,120,20260718,0
northern lights tonight austin,0,880,0 | 3 | 0 | 0 | 0 | 0 | 66 | 0 | 0 | 0 | 0 | 0,27,0,0.33,6 | 7 | 9 | 21 | 28 | 50,116,20260718,0
northern lights tonight houston,0,880,0 | 3 | 0 | 0 | 0 | 0 | 54 | 0 | 1 | 0 | 0 | 0,26,0,0.33,6 | 9 | 21 | 50,106,20260718,0
northern lights tonight in wisconsin,0,880,8 | 36 | 5 | 8 | 16 | 22 | 65 | 5 | 29 | 5 | 10 | 8,17,0,0.33,7 | 9 | 21 | 28 | 50,149,20260718,0
northern lights tonight nashville,0,880,0 | 4 | 0 | 0 | 0 | 0 | 36 | 0 | 2 | 0 | 0 | 0,25,0,0,6 | 9 | 21 | 28,104,20260718,0
northern lights tonight philadelphia,0,880,0 | 7 | 0 | 0 | 1 | 0 | 36 | 0 | 2 | 0 | 0 | 0,23,0,0.33,7 | 9 | 21 | 28 | 50,105,20260718,0
northern lights tonight phoenix,0,880,0 | 3 | 0 | 0 | 0 | 0 | 100 | 0 | 4 | 0 | 0 | 0,25,0,0.33,6 | 9 | 21 | 28 | 50,125,20260718,0
northern lights tonight pittsburgh,0,880,0 | 13 | 0 | 0 | 1 | 0 | 16 | 0 | 1 | 0 | 0 | 0,26,0,0,6 | 9 | 21 | 28 | 50,1330000,20260718,0
northern lights tonight what time,0,880,3 | 81 | 2 | 3 | 4 | 7 | 81 | 0 | 5 | 0 | 0 | 0,53,0,0.01,7 | 9 | 21 | 28 | 50,184,20260718,0
see the northern lights tonight,0,880,2 | 23 | 2 | 4 | 7 | 2 | 66 | 1 | 12 | 1 | 0 | 2,57,0.42,0.02,7 | 9 | 21 | 28 | 50,179,20260718,0
what time is northern lights tonight,0,880,0 | 4 | 0 | 0 | 0 | 1 | 29 | 0 | 5 | 0 | 0 | 0,25,0,0.01,7 | 9 | 21 | 28 | 50,188,20260718,0
when can you see the northern lights tonight,0,880,0 | 13 | 0 | 0 | 0 | 0 | 66 | 0 | 2 | 0 | 0 | 0,29,0,0,9 | 28 | 50,,20260718,0
when is the northern lights tonight,0,880,0 | 12 | 0 | 0 | 1 | 0 | 100 | 0 | 1 | 0 | 0 | 0,48,0,0.02,7 | 9 | 21 | 28 | 50,181,20260718,0
how to see northern lights tonight,0,720,0 | 8 | 0 | 0 | 0 | 0 | 10 | 0 | 2 | 1 | 0 | 0,43,0,0.05,7 | 9 | 21 | 28 | 50,181,20260718,0
northern lights could be visible tonight from parts of massachusetts,0,720,0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,24,0,0,9 | 13 | 21 | 28,142,20260718,0
northern lights illinois tonight,0,720,1 | 16 | 0 | 3 | 8 | 3 | 100 | 3 | 8 | 1 | 3 | 3,23,0,0.33,7 | 9 | 21 | 28 | 50,107,20260718,0
northern lights in colorado tonight,0,720,1 | 16 | 0 | 1 | 5 | 2 | 81 | 2 | 23 | 1 | 2 | 1,40,0,0,6 | 9 | 21 | 28 | 50,132,20260718,0
northern lights in ct tonight,0,720,1 | 18 | 0 | 2 | 8 | 3 | 100 | 3 | 18 | 1 | 2 | 3,21,0,0.33,6 | 7 | 9 | 13 | 21 | 28 | 50,143,20260718,0
northern lights in maine tonight,0,720,3 | 19 | 3 | 13 | 19 | 10 | 28 | 7 | 19 | 3 | 3 | 4,18,0,0.33,7 | 9 | 20 | 21 | 28 | 50,132,20260718,0
aurora,0,301000,44 | 44 | 29 | 36 | 44 | 54 | 44 | 44 | 54 | 24 | 36 | 44,95,0.68,0.02,1 | 7 | 9 | 13 | 21 | 28 | 36 | 50,110,20260718,0
northern lights,0,246000,7 | 8 | 4 | 6 | 7 | 6 | 24 | 13 | 13 | 4 | 6 | 4,71,1.02,0.02,9 | 21 | 28 | 50,109,20260718,0
aurora borealis,0,135000,7 | 16 | 6 | 6 | 9 | 9 | 20 | 6 | 4 | 4 | 7 | 7,69,0.78,0.01,7 | 9 | 21 | 28 | 50,113,20260718,0
northern lights tonight,0,135000,0 | 7 | 0 | 0 | 2 | 0 | 44 | 0 | 4 | 0 | 0 | 4,42,1.7,0.01,7 | 9 | 21 | 28 | 50,130,20260718,0
aurora forecast,0,90500,20 | 20 | 4 | 16 | 16 | 7 | 36 | 16 | 36 | 11 | 9 | 4,54,1.05,0.33,7 | 9 | 21 | 28,149,20260718,0
storm prediction center,0,90500,30 | 44 | 30 | 20 | 13 | 13 | 9 | 7 | 10 | 10 | 81 | 81,79,2.39,0.33,4 | 9 | 28,181,20260718,0
aurora borealis forecast,0,74000,44 | 44 | 6 | 8 | 13 | 6 | 36 | 11 | 36 | 4 | 7 | 36,57,1.04,0.01,7 | 9 | 21 | 28 | 50,136,20260718,0
northern lights aurora borealis forecast,0,74000,30 | 44 | 13 | 100 | 24 | 6 | 81 | 100 | 81 | 67 | 54 | 2,57,1.05,0.33,7 | 9 | 21 | 28 | 50,174,20260718,0
northern lights forecast,0,60500,7 | 10 | 7 | 13 | 13 | 6 | 20 | 7 | 8 | 2 | 3 | 6,53,1.11,0.01,7 | 9 | 21 | 28 | 50,135,20260718,0
aurora aurora boreal,0,40500,66 | 81 | 0 | 1 | 24 | 20 | 36 | 54 | 36 | 24 | 29 | 100,70,0.78,0.01,5 | 6 | 9 | 20 | 21 | 28 | 50,106,20260718,0
northern lights second time,0,40500,2 | 44 | 1 | 4 | 9 | 2 | 100 | 1 | 16 | 0 | 1 | 0,37,0.64,0.02,9 | 20 | 21 | 28 | 50,127,20260718,0
solar flares,0,33100,54 | 30 | 10 | 8 | 8 | 13 | 24 | 24 | 10 | 24 | 13 | 13,55,1.86,0.33,9 | 20 | 21 | 28 | 41 | 50,121,20260718,0
space weather,0,33100,16 | 36 | 13 | 13 | 16 | 13 | 44 | 20 | 36 | 20 | 13 | 13,56,2.42,0.33,6 | 9 | 28 | 41,121,20260718,0
northern lights northern,0,27100,20 | 20 | 0 | 0 | 13 | 4 | 1 | 6 | 13 | 6 | 4 | 7,71,1.02,0.02,6 | 9 | 13 | 20 | 21 | 28 | 50,109,20260718,0
aurora borealis and,0,22200,0 | 0 | 0 | 1 | 24 | 20 | 0 | 54 | 36 | 24 | 29 | 100,68,0.78,0.01,9 | 20 | 21 | 28 | 50,105,20260718,0
aurora borealis geomagnetic storm,0,22200,16 | 67 | 0 | 16 | 10 | 100 | 0 | 0 | 0 | 0 | 0 | 0,30,0,0.02,5 | 9 | 21 | 28 | 36 | 50,108,20260718,0
aurora borealis northern lights,0,22200,8 | 54 | 6 | 8 | 16 | 7 | 20 | 20 | 24 | 8 | 8 | 10,54,1.02,0.02,7 | 9 | 20 | 21 | 28 | 36 | 50,168,20260718,0
aurora borealis tonight,0,22200,1 | 9 | 0 | 0 | 1 | 1 | 24 | 1 | 3 | 1 | 0 | 4,63,1.52,0.02,7 | 9 | 21 | 28 | 50,136,20260718,0
geomagnetic storm,0,22200,10 | 20 | 3 | 8 | 8 | 7 | 44 | 10 | 30 | 8 | 6 | 4,46,2.16,0.33,9 | 20 | 21 | 28 | 36 | 41 | 50,116,20260718,0
northern lights aurora borealis,0,22200,0 | 36 | 0 | 0 | 0 | 1 | 16 | 11 | 36 | 6 | 4 | 7,54,1.02,0.02,6 | 7 | 9 | 20 | 21 | 28 | 50,165,20260718,0
solar storm,0,22200,11 | 13 | 1 | 3 | 4 | 2 | 13 | 2 | 9 | 1 | 1 | 1,64,2.69,0.33,9 | 20 | 21 | 28 | 50,416,20260718,0
solar flares today,0,18100,20 | 30 | 20 | 8 | 16 | 20 | 54 | 20 | 24 | 20 | 20 | 16,55,1.87,0.33,9 | 21 | 28 | 50,155,20260718,0
spaceweather,0 | 1,18100,24 | 20 | 8 | 20 | 44 | 24 | 36 | 44 | 24 | 20 | 20 | 13,65,2.42,0.33,4 | 6 | 7 | 9 | 20 | 28,140,20260718,0
auroras,0,14800,29 | 20 | 16 | 20 | 29 | 20 | 54 | 36 | 36 | 20 | 100 | 36,64,0.68,0.02,1 | 9 | 20 | 21 | 28 | 36 | 50,123,20260718,0
best places to see aurora in alaska,2,14800,0 | 0 | 0 | 0 | 44 | 0 | 24 | 0 | 29 | 100 | 2 | 10,28,0,0,6 | 7 | 9 | 21 | 28 | 43 | 50,148,20260718,0
northern lights forecast tonight,0,14800,6 | 11 | 3 | 4 | 11 | 7 | 45 | 7 | 20 | 16 | 7 | 9,54,0.89,0.01,7 | 9 | 21 | 28 | 50,135,20260718,0
aurora boreal,0,12100,8 | 13 | 16 | 10 | 10 | 10 | 36 | 8 | 44 | 8 | 29 | 13,70,0.78,0.01,5 | 9 | 20 | 21 | 28 | 50,119,20260718,0
aurora forecast tonight,0,12100,5 | 13 | 3 | 4 | 16 | 13 | 54 | 10 | 30 | 20 | 10 | 5,54,0.89,0.01,7 | 9 | 21 | 28 | 50,138,20260718,0
geomagnetic storms,0,12100,4 | 7 | 1 | 4 | 8 | 4 | 30 | 2 | 16 | 2 | 2 | 2,53,2.16,0.33,9 | 20 | 21 | 28 | 41 | 50,112,20260718,0
northern light,0,12100,20 | 29 | 29 | 20 | 20 | 20 | 54 | 36 | 24 | 20 | 20 | 10,52,1.02,0.02,5 | 7 | 9 | 20 | 21 | 28 | 41 | 50,118,20260718,0
